Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
Never,8/19/16,Indican Pictures,Drama,Not Rated,"2,174"
Never Gone,7/15/16,China Lion Film Distribution,Drama,Not Rated,"11,146"
New World Order,9/23/16,Indican Pictures,Action,Not Rated,"2,005"
New York New York,4/15/16,China Lion Film Distribution,Drama,Not Rated,"10,679"
News From Planet Mars,7/22/16,Kino Lorber,Comedy,Not Rated,35
Newtown,10/7/16,Abramorama Films,Documentary,Not Rated,"1,631"
Next Time Iíll Aim for the Heart,4/1/16,Distrib Films,Drama,Not Rated,94
Nine Lives,8/5/16,EuropaCorp,Adventure,PG,"2,277,460"
No Home Movie,4/1/16,Icarus Films,Documentary,Not Rated,"2,789"
No Manches Frida,9/2/16,Lionsgate,Comedy,PG-13,"1,332,787"
No Oneís Life Is Easy: So I Married an Anti-Fan,7/1/16,China Lion Film Distribution,Romantic Comedy,Not Rated,"10,336"
"No Pay, Nudity",11/11/16,Monterey Media,Drama,R,"2,314"
Nocturnal Animals,11/18/16,Focus Features,Thriller/Suspense,R,"1,177,486"
Norm of the North,1/15/16,Lionsgate,Adventure,PG,"1,972,543"
Norman Lear: Just Another Version of You,7/8/16,Music Box Films,Documentary,Not Rated,"8,202"
Now You See Me 2,6/10/16,Lionsgate,Thriller/Suspense,PG-13,"7,523,183"
Nuts!,6/22/16,Life Sentence Films/m Tuckman Media,Documentary,Not Rated,"5,113"
Oasis: Supersonic,10/26/16,A24,Documentary,R,"28,077"
Ocean Waves,12/28/16,GKIDS,Drama,PG-13,"1,050"
Of Mind and Music,2/12/16,Monterey Media,Drama,PG-13,"1,743"
Off the Rails,11/4/16,The Film Collaborative,Documentary,Not Rated,"3,959"
Office Christmas Party,12/9/16,Paramount Pictures,Comedy,R,"5,911,824"
Officer Downe,11/18/16,Magnolia Pictures,Action,R,98
Old Stone,11/30/16,Zeitgeist,Thriller/Suspense,Not Rated,864
On Meditation,7/27/16,Kino Lorber,Documentary,Not Rated,499
Only Yesterday,1/1/16,GKIDS,Drama,PG,"50,667"
Operation Chromite,8/5/16,CJ Entertainment,Action,Not Rated,"118,233"
Operation Mekong,9/30/16,Well Go USA,Action,Not Rated,"92,486"
Other People,9/9/16,Self Distributed,Drama,Not Rated,"10,571"
Ouija: Origin of Evil,10/21/16,Universal,Horror,PG-13,"4,062,948"
Our Kind of Traitor,7/1/16,Roadside Attractions,Thriller/Suspense,R,"364,526"
Our Last Tango,4/15/16,Strand,Documentary,Not Rated,"11,570"
Our Little Sister,7/8/16,Sony Pictures Classics,Drama,PG,"54,052"
Papa: Hemingway in Cuba,4/29/16,Yari Film Group Releasing,Drama,R,"128,972"
Passengers,12/21/16,Sony Pictures,Thriller/Suspense,PG-13,"6,402,336"
Paterson,12/28/16,Bleecker Street,Comedy,R,"11,656"
Paths of the Soul,5/13/16,Icarus Films,Documentary,Not Rated,"3,258"
Patriots Day,12/21/16,Lionsgate,Thriller/Suspense,R,"72,692"
Pele: Birth of a Legend,5/13/16,IFC Films,Drama,PG,"5,777"
Peteís Dragon,8/12/16,Walt Disney,Adventure,PG,"8,813,081"
Peter and the Farm,11/4/16,Magnolia Pictures,Documentary,Not Rated,"2,095"
Phantom Boy,7/15/16,GKIDS,Adventure,PG,"3,972"
Phantom Detective,5/13/16,CJ Entertainment,Action,Not Rated,"7,751"
Popstar: Never Stop Never Stopping,6/3/16,Universal,Comedy,R,"1,097,818"
Portrait of a Garden,10/26/16,Grasshopper Film,Documentary,Not Rated,914
Premam,10/6/16,Bluesky Cinemas,Comedy,Not Rated,"95,445"
Presenting Princess Shaw,5/27/16,Magnolia Pictures,Documentary,Not Rated,"6,959"
Priceless,10/14/16,Roadside Attractions,Drama,PG-13,"173,364"
Pride and Prejudice and Zombies,2/5/16,Sony Pictures,Black Comedy,PG-13,"1,260,958"
Project Itoh - Harmony,5/20/16,FUNimation,Action,Not Rated,"2,687"
Providence,2/12/16,Main Street,Drama,Not Rated,989
Puerto Ricans in Paris,6/10/16,Focus World,Comedy,R,"11,894"
"Rabin, in His Own Words",5/6/16,Menemsha Entertainment,Documentary,Not Rated,"3,230"
"Rabin, The Last Day",1/29/16,Kino Lorber,Drama,Not Rated,"3,284"
Race,2/19/16,Focus Features,Drama,PG-13,"2,209,848"
Raiders! The Story of the Greatest Fan Film Ever Made,6/17/16,Drafthouse Films,Documentary,Not Rated,"8,313"
Rams,2/3/16,Cohen Media Group,Drama,R,"17,254"
Range 15,6/15/16,Tugg,Comedy,Not Rated,"66,503"
Ratchet and Clank,4/29/16,Focus Features,Adventure,PG,"1,018,891"
Regression,2/5/16,Weinstein Co.,Thriller/Suspense,R,"6,362"
Remember the Goal,8/26/16,Five & Two Pictures,Drama,PG,"12,695"
Remember You,1/15/16,CJ Entertainment,Drama,Not Rated,"1,364"
Reparation,9/4/16,Red Dirt Pictures,Drama,Not Rated,"1,011"
Requiem For the American Dream,1/29/16,Gravitas Ventures,Documentary,Not Rated,"15,046"
Restored Me,6/6/16,Gathr Films,Drama,Not Rated,"4,235"
Revelation: Dawn of Global Government,4/15/16,Rocky Mountain Pictures,Documentary,PG,"2,208"
Ride Along 2,1/15/16,Universal,Comedy,PG-13,"10,504,356"
"Right Now, Wrong Then",6/24/16,Grasshopper Film,Romantic Comedy,Not Rated,"2,828"
Rio I Love You,4/15/16,Screen Media Films,Romantic Comedy,R,"3,697"
Risen,2/19/16,Sony Pictures,Drama,PG-13,"4,263,587"
River of Grass,3/11/16,Oscilloscope Pictures,Drama,Not Rated,"1,164"
Rock On 2,11/11/16,Eros Entertainment,Musical,Not Rated,"11,429"
Rogue One: A Star Wars Story,12/16/16,Walt Disney,Adventure,PG-13,"49,131,526"
Roseanne for President!,7/1/16,IFC Films,Documentary,Not Rated,547
Rules Donít Apply,11/23/16,20th Century Fox,Romantic Comedy,PG-13,"422,220"
Rustom,8/12/16,Independent Indian,Drama,Not Rated,"101,734"
Saala Khadoos,1/29/16,UTV Communications,Drama,Not Rated,"8,893"
Sanam Teri Kasam,2/5/16,Eros Entertainment,Drama,Not Rated,"2,557"
Sand Storm,9/28/16,Kino Lorber,Drama,Not Rated,"10,034"
Satanic,7/1/16,Magnolia Pictures,Horror,R,29
Saturdayís Warrior,4/1/16,Purdie Distribution,Musical,PG,"86,016"
Sausage Party,8/12/16,Sony Pictures,Adventure,R,"11,291,370"
Sea of Trees,8/26/16,A24,Drama,PG-13,"2,363"
Search Engines,10/14/16,Indican Pictures,Comedy,Not Rated,"2,179"
Search Party,5/13/16,Focus World,Comedy,R,528
Seasons,11/11/16,Music Box Films,Documentary,PG,"12,688"
Seed: The Untold Story,8/22/16,Collective Eye,Documentary,Not Rated,"16,763"
Seondal: The Man who Sells the River,7/15/16,CJ Entertainment,Action,Not Rated,"11,239"
Seoul Searching,6/17/16,Mondo Paradiso Films,Comedy,Not Rated,"2,156"
Serial Killer 1,6/17/16,Kino Lorber,Drama,Not Rated,"1,194"
Shin Godzilla,10/11/16,FUNimation,Action,Not Rated,"220,581"
Shut In,11/11/16,EuropaCorp,Thriller/Suspense,R,"797,437"
Silence,12/23/16,Paramount Pictures,Drama,R,"35,916"
Silicon Cowboys,9/16/16,FilmRise,Documentary,Not Rated,952
Sing,12/21/16,Universal,Adventure,PG,"19,248,302"
Sing Street,4/15/16,Weinstein Co.,Musical,PG-13,"374,233"
Skiptrace,9/2/16,Saban Films,Action,PG-13,207
Sky on Fire,12/2/16,Well Go USA,Action,Not Rated,"9,060"
Slash,12/9/16,Gravitas Ventures,Comedy,Not Rated,682
Snowden,9/16/16,Open Road,Drama,R,"2,495,666"
Sold,4/1/16,Matson,Drama,PG-13,"2,915"
Songs My Brothers Taught Me,3/2/16,Kino Lorber,Drama,Not Rated,"4,022"
Southbound,2/5/16,The Orchard,Horror,R,"23,704"
Southside with You,8/26/16,Roadside Attractions,Drama,PG-13,"728,811"
Spa Night,8/19/16,Strand,Drama,Not Rated,"4,459"
Spices of Liberty,10/24/16,Hannover House,Drama,PG,765
Spirit of the Game,10/7/16,Pure Flix / Samuel Goldwyn Films,Drama,PG,"25,730"
Spiritsí Homecoming,3/25/16,Pan Media & Entertainment,Drama,Not Rated,"14,301"
Standing Tall,3/11/16,Cohen Media Group,Drama,R,"3,022"
Star Trek Beyond,7/22/16,Paramount Pictures,Adventure,PG-13,"18,363,969"
Starcrossed,5/13/16,Indican Pictures,Drama,Not Rated,"1,764"
Storks,9/23/16,Warner Bros.,Adventure,PG,"8,371,659"
Streit's: Matzo and the American Dream,4/20/16,Menemsha Entertainment,Documentary,Not Rated,"2,023"
Sudden Fear,8/12/16,Cohen Media Group,Thriller/Suspense,Not Rated,"2,829"
Suicide Squad,8/5/16,Warner Bros.,Action,PG-13,"37,583,821"
Sully,9/9/16,Warner Bros.,Drama,PG-13,"14,448,131"
Sultan,7/6/16,Yash Raj Films,Action,Not Rated,"647,373"
Summertime,7/22/16,Strand,Drama,Not Rated,"4,083"
Sunset Song,5/13/16,Magnolia Pictures,Drama,R,"18,464"
Sweet Bean,3/18/16,Kino Lorber,Drama,Not Rated,"14,427"
Sweet Sixteen,8/17/16,China Lion Film Distribution,Drama,Not Rated,"3,646"
Swiss Army Man,6/24/16,A24,Drama,R,"486,757"
Sword Master,12/9/16,Well Go USA,Action,Not Rated,"8,731"
Sworn Virgin,4/22/16,Strand,Drama,Not Rated,535
Synchronicity,1/22/16,Magnolia Pictures,Thriller/Suspense,R,520
Take Me to the River,3/18/16,Film Movement,Drama,Not Rated,"3,241"
Tale of Tales,4/22/16,IFC Films,Drama,R,"11,813"
Talent Has Hunger,3/11/16,First Run Features,Documentary,Not Rated,924
Tampopo,10/21/16,Janus Films,Comedy,Not Rated,"20,498"
Tanna,9/16/16,Lightyear Entertainment,Drama,Not Rated,660
Te3n,6/10/16,Reliance Entertainment,Thriller/Suspense,Not Rated,"38,324"
Teenage Mutant Ninja Turtles: Out of the Shadows,6/3/16,Paramount Pictures,Adventure,PG-13,"9,485,734"
Term Life,4/29/16,Focus World,Drama,R,"2,457"
Thank You For Your Service,10/7/16,Gathr Films,Documentary,Not Rated,"2,485"
Tharlo,9/28/16,Icarus Films,Drama,Not Rated,"1,910"
The 5th Wave,1/22/16,Sony Pictures,Action,PG-13,"4,036,182"
The Accountant,10/14/16,Warner Bros.,Thriller/Suspense,R,"9,925,630"
The Adderall Diaries,4/15/16,A24,Drama,R,"1,524"
The Age of Shadows,9/23/16,CJ Entertainment,Action,Not Rated,"62,458"
The Angry Birds Movie,5/20/16,Sony Pictures,Adventure,PG,"12,428,828"
The Automatic Hate,3/11/16,Film Movement,Drama,Not Rated,532
The Bad Kids,12/16/16,FilmRise,Documentary,Not Rated,344
"The Beatles: Eight Days a Week, The Touring Years",9/16/16,Abramorama Films,Documentary,Not Rated,"337,562"
The Best Democracy Money Can Buy,9/23/16,Cinema Libre,Documentary,Not Rated,"3,410"
The BFG,7/1/16,Walt Disney,Adventure,PG,"6,414,308"
The Birth of a Nation,10/7/16,Fox Searchlight,Drama,R,"1,833,707"
The Black Dove,8/12/16,Indican Pictures,Comedy,Not Rated,"2,531"
The Boss,4/8/16,Universal,Comedy,R,"7,292,203"
The Bounce Back,12/9/16,Viva Entertainment,Romantic Comedy,PG-13,"37,215"
The Boy,1/22/16,STX Entertainment,Horror,PG-13,"4,140,989"
The Boy and the Beast,3/4/16,FUNimation,Adventure,PG-13,"56,721"
The Brainwashing of My Dad,3/18/16,JSenko Productions,Documentary,Not Rated,812
The Brand New Testament,12/9/16,Music Box Films,Comedy,Not Rated,"8,777"
The Bronze,3/18/16,Sony Pictures Classics,Black Comedy,R,"71,192"
The Brothers Grimsby,3/11/16,Sony Pictures,Comedy,R,"793,527"
The Carer,9/9/16,Corinth Films,Drama,Not Rated,589
The Channel,4/8/16,Indican Pictures,Horror,Not Rated,"2,117"
The Charnel House,11/4/16,Freestyle Releasing,Thriller/Suspense,R,732
The Choice,2/5/16,Lionsgate,Drama,PG-13,"2,165,420"
The Club,2/5/16,Music Box Films,Drama,Not Rated,"6,099"
The Congressman,4/29/16,Shadow,Drama,R,"8,260"
The Conjuring 2: The Enfield Poltergeist,6/10/16,Warner Bros.,Horror,R,"11,846,244"
The Dark Horse,4/1/16,Broad Green Pictures,Drama,R,"7,110"
The Darkness,5/13/16,High Top Releasing,Horror,PG-13,"1,243,187"
The Daughter,7/1/16,Mongrel Media,Drama,Not Rated,"6,647"
The Disappointments Room,9/9/16,Relativity,Horror,R,"280,169"
The Divergent Series: Allegiant,3/18/16,Lionsgate,Action,PG-13,"7,651,335"
The Dog Wedding,3/11/16,25th Frame,Romantic Comedy,PG-13,"2,989"
The Dressmaker,9/23/16,Broad Green Pictures,Drama,R,"233,770"
The Dying of the Light,4/7/16,First Run Features,Documentary,Not Rated,766
The Eagle Huntress,11/2/16,Sony Pictures Classics,Documentary,G,"241,573"
The Edge of Seventeen,11/18/16,STX Entertainment,Drama,R,"1,665,524"
The Eyes of My Mother,12/2/16,Magnolia Pictures,Horror,R,"3,132"
The Family Fang,4/29/16,Starz Media,Comedy,R,"30,395"
The FiancÈ,11/11/16,Indican Pictures,Horror,Not Rated,"1,632"
The Finest Hours,1/29/16,Walt Disney,Thriller/Suspense,PG,"3,187,232"
The First Monday in May,4/15/16,Magnolia Pictures,Documentary,PG-13,"60,979"
The Fits,6/3/16,Oscilloscope Pictures,Drama,Not Rated,"19,239"
The Forest,1/8/16,Focus / Gramercy,Thriller/Suspense,PG-13,"3,074,481"
The Ghosts of Johnson Woods,12/2/16,Driving With Our Eyes Shut,Horror,Not Rated,124
The Girl on the Train,10/7/16,Universal,Thriller/Suspense,R,"8,716,189"
The Greasy Strangler,10/7/16,FilmRise,Thriller/Suspense,Not Rated,"5,113"
The Handmaiden,10/21/16,Magnolia Pictures,Drama,Not Rated,"217,373"
The Harry Potter IMAX Marathon,10/14/16,Warner Bros.,Adventure,Not Rated,"199,910"
The Hollars,8/26/16,Sony Pictures Classics,Drama,PG-13,"117,570"
The Hollow,10/7/16,Uncork'd Entertainment,Thriller/Suspense,Not Rated,434
The Homeless Billionaire,6/17/16,Hannover House,Romantic Comedy,PG-13,"3,995"
The Huntsman: Winterís War,4/22/16,Universal,Action,PG-13,"5,549,481"
The Infiltrator,7/13/16,Broad Green Pictures,Thriller/Suspense,R,"1,784,602"
The Innocents,7/1/16,Music Box Films,Drama,PG-13,"123,198"
The Intervention,8/26/16,Samuel Goldwyn Films,Drama,R,"3,805"
The Invitation,4/8/16,Drafthouse Films,Thriller/Suspense,Not Rated,"26,790"
The Jungle Book,4/15/16,Walt Disney,Adventure,PG,"42,081,054"
The Kind Words,6/24/16,Strand,Drama,Not Rated,"15,651"
The Lady in the Van,1/15/16,Sony Pictures Classics,Drama,PG-13,"1,158,517"
The Land,7/29/16,IFC Films,Drama,R,"5,058"
The Last Film Festival,9/16/16,Monterey Media,Comedy,R,411
The Last King,6/17/16,Magnet Pictures,Action,R,"1,029"
The Last Man on the Moon,2/26/16,Gravitas Ventures,Documentary,Not Rated,"6,067"
The Last Princess,9/9/16,CJ Entertainment,Drama,Not Rated,"2,977"
The Legend of Tarzan,7/1/16,Warner Bros.,Adventure,PG-13,"14,640,816"
The Light Between Oceans,9/2/16,Walt Disney,Drama,PG-13,"1,450,402"
The Little Prince,2/12/16,Entertainment One,Adventure,PG,"151,585"
The Lobster,5/13/16,A24,Romantic Comedy,R,"1,063,153"
The Lost Arcade,8/12/16,26 Aries,Documentary,Not Rated,867
The Love Witch,11/11/16,Oscilloscope Pictures,Comedy,Not Rated,"18,583"
The Lovers And The Despot,9/23/16,Magnolia Pictures,Documentary,Not Rated,"6,417"
The Magnificent Seven,9/23/16,Sony Pictures,Western,PG-13,"10,800,029"
The Man Who Knew Infinity,4/29/16,IFC Films,Drama,PG-13,"448,314"
The Map Against the World,9/9/16,CJ Entertainment,Drama,Not Rated,"3,802"
The Masked Saint,1/8/16,Freestyle Releasing,Action,PG-13,"21,120"
The Measure of a Man,4/15/16,Kino Lorber,Drama,Not Rated,"12,993"
The Meddler,4/22/16,Sony Pictures Classics,Comedy,PG-13,"493,320"
The Mermaid,2/19/16,Sony Pictures,Romantic Comedy,R,"373,347"
The Met: Live in HD - Madama Butterfly,4/2/16,Fathom Events,Concert/Performance,Not Rated,"196,635"
The Met: Live in HD - Manon Lescaut,3/5/16,,Concert/Performance,Not Rated,"204,624"
The Monster,11/11/16,A24,Horror,R,"1,450"
The Music of Strangers: Yo Yo Man and the Silk Road Ensemble,6/10/16,The Orchard,Documentary,PG-13,"135,169"
The Neon Demon,6/24/16,Broad Green Pictures,Horror,R,"154,118"
The New Year's Eve of Old Lee,2/12/16,China Lion Film Distribution,Comedy,Not Rated,"2,931"
The Nice Guys,5/20/16,Warner Bros.,Black Comedy,R,"4,192,111"
The Night,9/14/16,Rialto Pictures,Drama,Not Rated,"4,535"
The Ones Below,5/27/16,Magnolia Pictures,Thriller/Suspense,R,"1,443"
The Other Half,12/2/16,Mongrel Media,Drama,Not Rated,"1,808"
The Other Side (2015),5/20/16,Film Movement,Documentary,PG,933
The Other Side of the Door,3/4/16,20th Century Fox,Horror,R,"346,860"
The People vs Fritz Bauer,8/19/16,Cohen Media Group,Drama,R,"33,344"
The Perfect Match,3/11/16,Lionsgate,Romantic Comedy,R,"1,117,863"
The Pit,9/30/16,Kino Lorber,Horror,R,64
The Preppie Connection,3/18/16,IFC Films,Drama,R,825
The Professor: Tai Chi's Journey West,5/6/16,First Run Features,Documentary,Not Rated,329
The Purge: Election Year,7/1/16,Universal,Horror,R,"9,137,854"
The Queen of Katwe,9/23/16,Walt Disney,Drama,PG,"1,023,966"
The Romans,5/27/16,Indican Pictures,Drama,Not Rated,"2,082"
The Ruins of Lifta,9/23/16,First Run Features,Documentary,Not Rated,"1,335"
The Seasons in Quincy: Four Portraits of John Berger,8/31/16,Icarus Films,Documentary,Not Rated,"1,935"
The Secret Life of Pets,7/8/16,Universal,Adventure,PG,"42,587,783"
The Seventh Fire,7/22/16,Film Movement,Documentary,Not Rated,"3,394"
The Shallows,6/24/16,Sony Pictures,Drama,PG-13,"6,372,441"
The Student and Mr. Henri,8/19/16,Distrib Films,Romantic Comedy,Not Rated,87
The Take,11/18/16,High Top Releasing,Action,R,"5,811"
The Tenth Man (2016),7/29/16,Kino Lorber,Comedy,Not Rated,"7,306"
The Treasure,1/8/16,IFC Films,Comedy,Not Rated,"5,607"
The Uncondemned,10/21/16,Abramorama Films,Documentary,Not Rated,"1,663"
The Unknowns,5/23/16,Gathr Films,Documentary,Not Rated,"3,385"
The Wailing,5/20/16,Well Go USA,Thriller/Suspense,Not Rated,"90,940"
The Wait,4/29/16,Oscilloscope Pictures,Drama,Not Rated,"6,451"
The Wasted Times,12/16/16,China Lion Film Distribution,Thriller/Suspense,Not Rated,"42,459"
The Watermelon Woman,11/10/16,First Run Features,Drama,Not Rated,229
The Wave,3/4/16,Magnolia Pictures,Action,R,"20,509"
The Wild Life,9/9/16,Lionsgate,Adventure,PG,"925,501"
The Witch,2/19/16,A24,Horror,R,"2,906,208"
The Witness,6/3/16,FilmRise,Documentary,Not Rated,"18,326"
The Young Messiah,3/11/16,Focus Features,Drama,PG-13,"747,955"
Theo Who Lived,9/30/16,Zeitgeist,Documentary,Not Rated,"1,303"
Therapy For A Vampire,6/10/16,Music Box Films,Comedy,Not Rated,"3,481"
Things to Come,12/2/16,IFC Films,Drama,PG-13,"28,662"
This Last Lonely Place,8/12/16,Indican Pictures,Thriller/Suspense,Not Rated,"2,311"
Three,6/24/16,Well Go USA,Action,Not Rated,"13,820"
Tickled,6/17/16,Magnolia Pictures,Documentary,R,"70,977"
Tikkun,6/10/16,Kino Lorber,Drama,Not Rated,"1,544"
Time Renegades,4/15/16,CJ Entertainment,Action,Not Rated,"6,784"
Time to Choose,6/3/16,Abramorama Films,Documentary,Not Rated,"3,379"
Toni Erdmann,12/25/16,Sony Pictures Classics,Comedy,R,"11,201"
Too Late,3/18/16,Vanishing Angle Films,Drama,Not Rated,"6,987"
Touched With Fire,2/12/16,Roadside Attractions,Drama,R,"16,934"
Tower,10/12/16,Kino Lorber,Drama,Not Rated,"11,423"
Train to Busan,7/22/16,Well Go USA,Horror,Not Rated,"245,755"
Trapped,3/4/16,Abramorama Films,Documentary,Not Rated,"7,310"
Triple 9,2/26/16,Open Road,Thriller/Suspense,R,"1,461,190"
Trolls,11/4/16,20th Century Fox,Adventure,PG,"17,356,103"
Troublemakers: The Story of Land Art,1/8/16,First Run Features,Documentary,Not Rated,"3,406"
Tumbledown,2/12/16,Starz Digital Media,Romantic Comedy,R,"15,609"
Tunnel,8/26/16,Well Go USA,Action,Not Rated,"65,766"
Tyler Perryís Boo! A Madea Halloween,10/21/16,Lionsgate,Comedy,PG-13,"8,463,161"
"Ugly, Dirty and Bad",10/21/16,Film Movement,Drama,Not Rated,761
Under the Shadow,10/7/16,Vertical Entertainment,Horror,PG-13,"3,339"
Under the Sun (2016),7/6/16,Icarus Films,Documentary,Not Rated,"11,495"
Undrafted,7/15/16,Vertical Entertainment,Comedy,Not Rated,667
Unless,10/14/16,Mongrel Media,Drama,Not Rated,"2,210"
Unlocking the Cage,5/25/16,First Run Features,Documentary,Not Rated,"3,154"
Unsullied,4/22/16,Indican Pictures,Thriller/Suspense,R,"59,070"
Until Forever,2/12/16,CanZion Films,Drama,Not Rated,"12,350"
Valley of Love,3/25/16,Strand,Drama,Not Rated,"3,311"
Vaxxed: From Cover Up to Catastrophe,4/1/16,Cinema Libre,Documentary,Not Rated,"134,481"
Victor,9/15/16,CanZion Films,Drama,PG-13,"11,836"
Vigilante Diaries,6/24/16,Anchor Bay Entertainment,Action,R,230
Viktoria,4/29/16,Big World Pictures,Drama,Not Rated,"1,307"
Vita Activa: The Spirit of Hannah Arendt,4/6/16,Zeitgeist,Documentary,Not Rated,"9,496"
Viva,4/29/16,Magnolia Pictures,Drama,R,"20,578"
Voiceless,10/7/16,ArtAffects,Drama,PG-13,"48,549"
Volcano,8/19/16,Kino Lorber,Drama,Not Rated,"34,122"
War Dogs,8/19/16,Warner Bros.,Comedy,R,"4,975,089"
Warcraft,6/10/16,Universal,Action,PG-13,"5,459,613"
Wazir,1/8/16,Reliance Entertainment,Thriller/Suspense,Not Rated,"67,748"
We Are Twisted F***ing Sister!,2/15/16,Music Box Films,Documentary,Not Rated,956
We are X,10/21/16,Drafthouse Films,Documentary,R,"5,233"
Wedding Doll,4/15/16,Strand,Drama,Not Rated,"6,496"
Weiner,5/20/16,Sundance Selects,Documentary,R,"193,664"
What Happened Last Night,11/4/16,Gemelli Productions,Comedy,R,"1,068"
When the Bough Breaks,9/9/16,Sony Pictures,Thriller/Suspense,PG-13,"3,439,029"
When Two Worlds Collide,8/17/16,First Run Features,Documentary,Not Rated,"1,396"
Whiskey Tango Foxtrot,3/4/16,Paramount Pictures,Comedy,R,"2,668,593"
White Girl,9/2/16,FilmRise,Drama,Not Rated,"23,149"
White Lies,3/4/16,ArtMattan Productions,Drama,Not Rated,319
Why Him?,12/23/16,20th Century Fox,Comedy,R,"3,541,493"
Wiener-Dog,6/24/16,Sundance Selects,Comedy,R,"54,401"
Wild Oats,9/16/16,Weinstein Co.,Comedy,PG-13,"4,693"
Wildflower,10/20/16,CanZion Films,Drama,PG-13,"2,088"
X-Men: Apocalypse,5/27/16,20th Century Fox,Action,PG-13,"17,970,229"
Yalom's Cure,3/11/16,First Run Features,Documentary,Not Rated,134
Yosemite,1/1/16,Monterey Media,Drama,R,"1,094"
Zero Days,7/8/16,Magnolia Pictures,Documentary,PG-13,"12,676"
Zoolander 2,2/12/16,Paramount Pictures,Comedy,PG-13,"3,335,109"
Zootopia,3/4/16,Walt Disney,Adventure,PG,"39,452,976"
