Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
Call Her Applebroog,6/10/16,Zeitgeist,Documentary,Not Rated,559
Cameraperson,9/9/16,Janus Films,Documentary,Not Rated,"11,795"
Captain America: Civil War,5/6/16,Walt Disney,Action,PG-13,"47,177,381"
Captain Fantastic,7/8/16,Bleecker Street,Drama,R,"679,749"
Catching the Sun,4/1/16,The Film Collaborative,Documentary,Not Rated,"4,463"
Cemetery of Splendor,3/4/16,Strand,Drama,Not Rated,"6,005"
Central Intelligence,6/17/16,Warner Bros.,Comedy,PG-13,"14,733,049"
Certain Women,10/14/16,IFC Films,Drama,R,"123,474"
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,11/11/16,Eros Entertainment,Adventure,Not Rated,"81,008"
Chevalier,5/27/16,Strand,Comedy,Not Rated,"2,970"
Chimes at Midnight,1/1/16,Janus Films,Comedy,Not Rated,"12,458"
Chongqing Hot Pot,4/1/16,China Lion Film Distribution,Comedy,Not Rated,"89,786"
Chosen,12/16/16,Hannover House,Drama,R,353
Christine,10/14/16,The Orchard,Drama,R,"34,396"
Chronic,9/23/16,Monument Releasing,Drama,R,"1,044"
City of Gold,3/11/16,IFC Films,Documentary,R,"70,381"
City of Women,2/19/16,Cohen Media Group,Comedy,R,"1,446"
Closet Monster,9/23/16,Strand,Drama,Not Rated,"4,874"
Clown,6/17/16,Dimension Pictures,Horror,R,"6,359"
Cock and Bull,9/16/16,China Lion Film Distribution,Comedy,Not Rated,"9,569"
Cold War 2,7/8/16,Well Go USA,Action,Not Rated,"64,835"
Collateral Beauty,12/16/16,Warner Bros.,Drama,PG-13,"2,814,159"
Colliding Dreams,3/4/16,International Film Circuit,Documentary,Not Rated,"9,050"
Colonia,4/15/16,Screen Media Films,Thriller/Suspense,R,"1,816"
Come What May,9/9/16,Cohen Media Group,Drama,R,"4,376"
Coming Through the Rye,10/14/16,Eammon Films,Drama,PG-13,462
Command and Control,9/14/16,PBS Distribution,Documentary,Not Rated,"6,663"
Compadres,4/22/16,Lionsgate,Comedy,R,"361,592"
Complete Unknown,8/26/16,IFC Films,Drama,R,"21,635"
Cosmos,6/17/16,Kino Lorber,Drama,Not Rated,"2,989"
Creative Control,3/11/16,Magnolia Pictures,Drama,R,"7,284"
Criminal,4/15/16,Lionsgate,Action,R,"1,700,427"
Dancer,9/9/16,IFC Films,Documentary,Not Rated,"7,234"
Dangal,12/21/16,UTV Communications,Action,Not Rated,"1,066,565"
Danny Says,9/30/16,Magnolia Pictures,Documentary,Not Rated,"5,111"
Dark Horse,5/6/16,Sony Pictures Classics,Documentary,PG,"108,753"
Daughters of the Dust (Re-Issue),11/18/16,Cohen Media Group,Drama,Not Rated,"7,040"
De Palma,6/10/16,A24,Documentary,R,"19,102"
Deadpool,2/12/16,20th Century Fox,Action,R,"41,973,492"
Dear Life,11/23/16,Reliance Big Pictures,Drama,Not Rated,"274,737"
Deepwater Horizon,9/30/16,Lionsgate,Drama,PG-13,"7,102,141"
Demolition,4/8/16,Fox Searchlight,Drama,R,"228,738"
Demon,9/9/16,The Orchard,Horror,R,"12,027"
Denial,9/30/16,Bleecker Street,Drama,PG-13,"470,918"
Desierto,10/14/16,STX Entertainment,Thriller/Suspense,R,"231,449"
Detective Chinatown,1/15/16,China Lion Film Distribution,Action,Not Rated,"53,159"
Dheepan,5/6/16,Sundance Selects,Drama,R,"28,762"
Diary of a Chambermaid,6/10/16,Cohen Media Group,Drama,Not Rated,"6,194"
Dirty Grandpa,1/22/16,Lionsgate,Comedy,R,"4,114,810"
Dishoom,7/29/16,Eros Entertainment,Action,Not Rated,"93,958"
Disorder,8/12/16,IFC Films,Thriller/Suspense,Not Rated,"4,966"
Disturbing the Peace (Re-issue),11/11/16,Abramorama Films,Documentary,Not Rated,"2,923"
Do Not Resist,9/30/16,Vanish Films,Documentary,Not Rated,"8,230"
Doctor Strange,11/4/16,Walt Disney,Adventure,PG-13,"26,602,056"
Donít Blink: Robert Frank,7/13/16,Grasshopper Film,Documentary,Not Rated,"8,801"
Donít Breathe,8/26/16,Sony Pictures,Horror,R,"10,314,205"
Donít Call Me Son,11/2/16,Zeitgeist,Drama,Not Rated,"1,350"
Donít Think Twice,7/22/16,Film Arcade,Comedy,R,"510,749"
DONGJU; The Portrait of A Poet,2/17/16,Megabox Plus M,Drama,Not Rated,"6,495"
Dough,2/12/16,Menemsha Entertainment,Comedy,Not Rated,"132,751"
Down by Love,8/19/16,Distrib Films,Drama,Not Rated,78
Eat That Question: Frank Zappa in His Own Words,6/24/16,Sony Pictures Classics,Documentary,R,"41,049"
Eddie the Eagle,2/26/16,20th Century Fox,Drama,PG-13,"1,825,362"
Eisenstein In Guanajuato,2/5/16,Strand,Drama,Not Rated,"3,963"
El Clan,3/18/16,20th Century Fox,Drama,R,"23,263"
Elle,11/11/16,Sony Pictures Classics,Drama,R,"105,947"
Elstree 1976,5/6/16,FilmRise,Documentary,Not Rated,"1,407"
Elvis & Nixon,4/22/16,Bleecker Street & Amazon Studios,Drama,R,"121,998"
